ID	Titles
0	controllerType=0 controllerNumber=1 scan=61460
1	controllerType=0 controllerNumber=1 scan=65403
2	controllerType=0 controllerNumber=1 scan=30442
3	controllerType=0 controllerNumber=1 scan=52874
4	controllerType=0 controllerNumber=1 scan=14134
5	controllerType=0 controllerNumber=1 scan=13858
6	controllerType=0 controllerNumber=1 scan=65040
7	controllerType=0 controllerNumber=1 scan=59387
8	controllerType=0 controllerNumber=1 scan=69103
9	controllerType=0 controllerNumber=1 scan=58381
10	controllerType=0 controllerNumber=1 scan=64063
11	controllerType=0 controllerNumber=1 scan=14597
12	controllerType=0 controllerNumber=1 scan=66545
13	controllerType=0 controllerNumber=1 scan=60405
14	controllerType=0 controllerNumber=1 scan=57913
15	controllerType=0 controllerNumber=1 scan=67176
16	controllerType=0 controllerNumber=1 scan=30917
17	controllerType=0 controllerNumber=1 scan=30316
18	controllerType=0 controllerNumber=1 scan=35097
19	controllerType=0 controllerNumber=1 scan=66414
20	controllerType=0 controllerNumber=1 scan=12930
21	controllerType=0 controllerNumber=1 scan=61958
22	controllerType=0 controllerNumber=1 scan=71664
23	controllerType=0 controllerNumber=1 scan=60814
24	controllerType=0 controllerNumber=1 scan=66595
25	controllerType=0 controllerNumber=1 scan=58805
26	controllerType=0 controllerNumber=1 scan=67512
27	controllerType=0 controllerNumber=1 scan=66214
28	controllerType=0 controllerNumber=1 scan=13230
29	controllerType=0 controllerNumber=1 scan=42621
30	controllerType=0 controllerNumber=1 scan=61950
31	controllerType=0 controllerNumber=1 scan=52017
32	controllerType=0 controllerNumber=1 scan=60616
33	controllerType=0 controllerNumber=1 scan=73340
34	controllerType=0 controllerNumber=1 scan=74443
35	controllerType=0 controllerNumber=1 scan=55505
36	controllerType=0 controllerNumber=1 scan=59489
37	controllerType=0 controllerNumber=1 scan=61748
38	controllerType=0 controllerNumber=1 scan=64373
39	controllerType=0 controllerNumber=1 scan=64998
40	controllerType=0 controllerNumber=1 scan=58755
41	controllerType=0 controllerNumber=1 scan=20159
42	controllerType=0 controllerNumber=1 scan=65578
