Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::vector<Core::Peak, std::allocator<Core::Peak>>::operator=	0.300174	0.300174	0.100058	0.200116	0.0	0.0	0.0	0.0	0.0	960000000	50.0	50.0	1.000000	mscrush_on_general_charge	std::vector<Core::Peak, std::allocator<Core::Peak>>::operator=(std::vector<Core::Peak, std::allocator<Core::Peak>> const&)	[Unknown]	0x40c820
SaveClusters	0.265154	0.265154	0.005003	0.260151	0.0	0.0	0.0	0.0	0.0	96000000	1.9	1.9	8.166667	mscrush_on_general_charge	SaveClusters(std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>> const&, bool, std::string)	[Unknown]	0x40f920
operator new	0.250145	0.250145	0.055032	0.190110	0.005003	0.0	0.0	0.0	0.0	784000000	45.1	45.1	1.102041	libstdc++.so.6.0.19	operator new(unsigned long)	[Unknown]	0x5f170
std::vector<Core::EmbededPeak, std::allocator<Core::EmbededPeak>>::operator=	0.220128	0.220128	0.100058	0.120070	0.0	0.0	0.0	0.0	0.0	1184000000	96.3	96.3	0.500000	mscrush_on_general_charge	std::vector<Core::EmbededPeak, std::allocator<Core::EmbededPeak>>::operator=(std::vector<Core::EmbededPeak, std::allocator<Core::EmbededPeak>> const&)	[Unknown]	0x40c670
std::string::string	0.165096	0.165096	0.080046	0.085049	0.0	0.0	0.0	0.0	0.0	160000000	48.2	48.2	3.500000	libstdc++.so.6.0.19	std::string::string(std::string const&)	[Unknown]	0xbef60
Cluster	0.160093	0.160093	0.005003	0.155090	0.0	0.0	0.0	0.0	0.0	32000000	2.5	2.5	18.500000	mscrush_on_general_charge	Cluster(std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, Core::HyperParams&, char, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, int)	[Unknown]	0x412850
std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>::_M_range_insert<__gnu_cxx::__normal_iterator<Core::Spectrum**, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>>.constprop.332	0.160093	0.160093	0.0	0.120070	0.040023	0.0	0.0	0.0	0.0	608000000	25.6	25.6	0.868421	mscrush_on_general_charge	void std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>::_M_range_insert<__gnu_cxx::__normal_iterator<Core::Spectrum**, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>>(__gnu_cxx::__normal_iterator<Core::Spectrum**, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>, __gnu_cxx::__normal_iterator<Core::Spectrum**, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>, __gnu_cxx::__normal_iterator<Core::Spectrum**, std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>, std::forward_iterator_tag).constprop.332	[Unknown]	0x40f5d0
__memcmp_sse4_1	0.120070	0.120070	0.065038	0.055032	0.0	0.0	0.0	0.0	0.0	208000000	26.8	26.8	1.615385	libc-2.17.so	__memcmp_sse4_1	[Unknown]	0x16a0d0
operator delete	0.105061	0.105061	0.035020	0.070041	0.0	0.0	0.0	0.0	0.0	64000000	4.5	4.5	5.250000	libstdc++.so.6.0.19	operator delete(void*)	[Unknown]	0x5d2e0
std::basic_filebuf<char, std::char_traits<char>>::underflow	0.105061	0.105061	0.055032	0.050029	0.0	0.0	0.0	0.0	0.0	240000000	15.6	15.6	1.600000	libstdc++.so.6.0.19	std::basic_filebuf<char, std::char_traits<char>>::underflow(void)	[Unknown]	0xb5f00
std::string::assign	0.090052	0.090052	0.060035	0.030017	0.0	0.0	0.0	0.0	0.0	272000000	40.8	40.8	1.352941	libstdc++.so.6.0.19	std::string::assign(std::string const&)	[Unknown]	0xbefe0
str_to_mpn.isra.0	0.085049	0.085049	0.030017	0.055032	0.0	0.0	0.0	0.0	0.0	336000000	30.0	30.0	1.190476	libc-2.17.so	str_to_mpn.isra.0	[Unknown]	0x3b9b0
func@0x4035f0	0.080046	0.080046	0.025014	0.055032	0.0	0.0	0.0	0.0	0.0	496000000	100.0	100.0	0.290323	mscrush_on_general_charge	func@0x4035f0	[Unknown]	0x4035f0
func@0x5b55c	0.070041	0.070041	0.010006	0.060035	0.0	0.0	0.0	0.0	0.0	80000000	36.5	36.5	3.600000	libstdc++.so.6.0.19	func@0x5b55c	[Unknown]	0x5b55c
func@0x59840	0.065038	0.065038	0.035020	0.030017	0.0	0.0	0.0	0.0	0.0	736000000	55.6	55.6	0.586957	libstdc++.so.6.0.19	func@0x59840	[Unknown]	0x59840
std::__basic_file<char>::xsgetn	0.065038	0.065038	0.030017	0.035020	0.0	0.0	0.0	0.0	0.0	32000000	8.5	8.5	5.500000	libstdc++.so.6.0.19	std::__basic_file<char>::xsgetn(char*, long)	[Unknown]	0x7c590
std::string::_Rep::_S_create	0.060035	0.060035	0.015009	0.045026	0.0	0.0	0.0	0.0	0.0	256000000	40.2	40.2	0.437500	libstdc++.so.6.0.19	std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)	[Unknown]	0xbdc80
