Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::string::swap	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	2.000000	libstdc++.so.6.0.19	std::string::swap(std::string&)	[Unknown]	0xbd270
sysmalloc	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	sysmalloc	[Unknown]	0x817a0
GOMP_parallel	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libgomp.so.1.0.0	GOMP_parallel	[Unknown]	0xe020
_L_unlock_16624	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	_L_unlock_16624	[Unknown]	0x88b78
__GI___mempcpy	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libc-2.17.so	__GI___mempcpy	[Unknown]	0x8fb70
__GI___printf_fp_l	0.005003	0.005003	0.0	0.0	0.005003	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	__GI___printf_fp_l	[Unknown]	0x4e2a0
__errno_location	0.005003	0.0	0.0	0.0	0.0	0.0	0.0	0.005003	0.0	64000000	0.0	0.0	3.500000	libpthread-2.17.so	__errno_location	[Unknown]	0x10da0
__exp1	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libm-2.17.so	__exp1	[Unknown]	0x10400
__pthread_enable_asynccancel	0.005003	0.0	0.0	0.0	0.0	0.0	0.0	0.005003	0.0	32000000	93.8	93.8	1.000000	libpthread-2.17.so	__pthread_enable_asynccancel	[Unknown]	0xe440
__uselocale	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libc-2.17.so	__uselocale	[Unknown]	0x2ee70
func@0x4036c0	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	64000000	0.0	0.0	1.000000	mscrush_on_general_charge	func@0x4036c0	[Unknown]	0x4036c0
func@0x403920	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	93.8	93.8		mscrush_on_general_charge	func@0x403920	[Unknown]	0x403920
func@0x4039a0	0.005003	0.005003	0.005003	0.0	0.0	0.0	0.0	0.0	0.0	32000000			0.0	mscrush_on_general_charge	func@0x4039a0	[Unknown]	0x4039a0
func@0x58ca0	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libstdc++.so.6.0.19	func@0x58ca0	[Unknown]	0x58ca0
func@0x590e0	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	48000000	31.3	31.3	1.000000	libstdc++.so.6.0.19	func@0x590e0	[Unknown]	0x590e0
func@0x593b0	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	46.9	46.9		libstdc++.so.6.0.19	func@0x593b0	[Unknown]	0x593b0
func@0x59c60	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0			0.0	libstdc++.so.6.0.19	func@0x59c60	[Unknown]	0x59c60
func@0x5a240	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libstdc++.so.6.0.19	func@0x5a240	[Unknown]	0x5a240
heap_trim	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libc-2.17.so	heap_trim	[Unknown]	0x7fdc0
main	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	2.000000	mscrush_on_general_charge	main	[Unknown]	0x405740
merge_spectra	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		mscrush_on_general_charge	merge_spectra(std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, std::vector<std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, std::allocator<std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*>> const&)	[Unknown]	0x40fc90
std::basic_filebuf<char, std::char_traits<char>>::overflow	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	16000000	46.9	46.9	2.000000	libstdc++.so.6.0.19	std::basic_filebuf<char, std::char_traits<char>>::overflow(int)	[Unknown]	0xb7de0
std::chrono::_V2::system_clock::now	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	std::chrono::_V2::system_clock::now(void)	[Unknown]	0xb1a20
std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::_M_insert_int<long>	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	1.000000	libstdc++.so.6.0.19	std::ostreambuf_iterator<char, std::char_traits<char>> std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char>>, std::ios_base&, char, long) const	[Unknown]	0x8a680
std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::do_put	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libstdc++.so.6.0.19	std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::do_put(std::ostreambuf_iterator<char, std::char_traits<char>>, std::ios_base&, char, long) const	[Unknown]	0x8acf0
std::ostream::flush	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0			0.0	libstdc++.so.6.0.19	std::ostream::flush(void)	[Unknown]	0x95e40
std::ostream::operator<<	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libstdc++.so.6.0.19	std::ostream::operator<<(int)	[Unknown]	0x97200
std::vector<Core::Peak, std::allocator<Core::Peak>>::reserve	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	31.3	31.3		mscrush_on_general_charge	std::vector<Core::Peak, std::allocator<Core::Peak>>::reserve(unsigned long)	[Unknown]	0x40cb20
strtof	0.005003	0.005003	0.005003	0.0	0.0	0.0	0.0	0.0	0.0	0			0.0	libc-2.17.so	strtof	[Unknown]	0x3b930
syscall	0.005003	0.005003	0.0	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	syscall	[Unknown]	0xf8d00
_IO_file_xsputn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	1.000000	libc-2.17.so	_IO_file_xsputn	[Unknown]	0x7a9a0
func@0x403710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000			0.0	mscrush_on_general_charge	func@0x403710	[Unknown]	0x403710
func@0x4037a0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	3.000000	mscrush_on_general_charge	func@0x4037a0	[Unknown]	0x4037a0
func@0x52b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48000000	0.0	0.0	0.0	libm-2.17.so	func@0x52b0	[Unknown]	0x52b0
func@0x58cd0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	62.5	62.5		libstdc++.so.6.0.19	func@0x58cd0	[Unknown]	0x58cd0
func@0x59ba0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	0.0	libstdc++.so.6.0.19	func@0x59ba0	[Unknown]	0x59ba0
func@0x59df0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	1.000000	libstdc++.so.6.0.19	func@0x59df0	[Unknown]	0x59df0
func@0x5b160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	3.000000	libstdc++.so.6.0.19	func@0x5b160	[Unknown]	0x5b160
std::basic_filebuf<char, std::char_traits<char>>::sync	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	100.0	100.0	1.000000	libstdc++.so.6.0.19	std::basic_filebuf<char, std::char_traits<char>>::sync(void)	[Unknown]	0xb58f0
std::basic_streambuf<char, std::char_traits<char>>::xsputn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80000000	0.0	0.0	0.800000	libstdc++.so.6.0.19	std::basic_streambuf<char, std::char_traits<char>>::xsputn(char const*, long)	[Unknown]	0x9fe30
std::vector<std::vector<int, std::allocator<int>>*, std::allocator<std::vector<int, std::allocator<int>>*>>::_M_realloc_insert<std::vector<int, std::allocator<int>>*>	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	0.0	mscrush_on_general_charge	void std::vector<std::vector<int, std::allocator<int>>*, std::allocator<std::vector<int, std::allocator<int>>*>>::_M_realloc_insert<std::vector<int, std::allocator<int>>*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int>>**, std::vector<std::vector<int, std::allocator<int>>*, std::allocator<std::vector<int, std::allocator<int>>*>>>, std::vector<int, std::allocator<int>>*&&)	[Unknown]	0x418bf0
write	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	46.9	46.9		libpthread-2.17.so	write	[Unknown]	0xe6d0
