         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1650/1649    0.005    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
     1578    0.005    0.000    1.268    0.001 module.py:207(_get_body_lines)
 3330/793    0.005    0.000   12.548    0.016 typeinfer.py:1500(resolve_call)
     3777    0.005    0.000    0.014    0.000 utils.py:27(erase_traceback)
    18221    0.005    0.000    0.005    0.000 context.py:187(get_context)
      205    0.005    0.000    0.061    0.000 pprint.py:345(_format_dict_items)
     8428    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     3057    0.005    0.000    0.006    0.000 ffi.py:235(__init__)
     7188    0.005    0.000    0.305    0.000 errors.py:295(errmsg)
     6939    0.005    0.000    0.005    0.000 warnings.py:437(__init__)
     3748    0.005    0.000    0.006    0.000 pprint.py:99(_safe_tuple)
     3330    0.005    0.000    0.014    0.000 typeinfer.py:652(_add_refine_map)
     4556    0.005    0.000    0.013    0.000 byteflow.py:1212(make_temp)
     6114    0.005    0.000    0.005    0.000 {method 'count' of 'list' objects}
     3285    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
     6712    0.005    0.000    0.006    0.000 ir.py:1026(__init__)
     7193    0.005    0.000    0.006    0.000 templates.py:34(__init__)
    28232    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
     1465    0.005    0.000    0.008    0.000 models.py:103(traverse_types)
     1219    0.005    0.000    0.034    0.000 module.py:89(get_global_variable)
    17068    0.005    0.000    0.005    0.000 ansitowin32.py:22(__init__)
     8163    0.005    0.000    0.577    0.000 context.py:220(decref)
    18220    0.005    0.000    0.005    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
    20487    0.005    0.000    0.008    0.000 posixpath.py:41(_get_sep)
    29968    0.005    0.000    0.005    0.000 config.py:170(__getattr__)
     1334    0.005    0.000    0.006    0.000 std.py:155(__init__)
     2030    0.005    0.000    0.040    0.000 controlflow.py:205(_back_edges)
     5964    0.005    0.000    0.074    0.000 base.py:47(find)
     8058    0.005    0.000    0.006    0.000 compiler_machinery.py:24(__exit__)
     2608    0.005    0.000    0.519    0.000 cgutils.py:166(__getitem__)
     5441    0.005    0.000    0.018    0.000 core.py:126(null)
6507/6163    0.005    0.000    0.054    0.000 base.py:704(cast)
     6073    0.005    0.000    0.012    0.000 swigfaiss.py:5065(train)
      804    0.005    0.000    0.079    0.000 cpu.py:65(load_additional_registries)
     2841    0.005    0.000    0.008    0.000 inspect.py:493(unwrap)
    87/22    0.005    0.000   19.411    0.882 dispatcher.py:100(_compile_core)
     1352    0.005    0.000    0.006    0.000 std.py:108(release)
     1822    0.005    0.000    0.006    0.000 mgf.py:525(_pepmass_repr)
     1842    0.005    0.000    0.030    0.000 typeinfer.py:187(__call__)
     4010    0.005    0.000    0.015    0.000 instructions.py:114(<listcomp>)
      145    0.005    0.000    2.770    0.019 __init__.py:1(<module>)
     1879    0.005    0.000    0.006    0.000 templates.py:94(__repr__)
      126    0.005    0.000    0.024    0.000 bytecode.py:196(__init__)
     6073    0.005    0.000    0.005    0.000 pool.py:933(_get_sentinels)
     3448    0.005    0.000    0.008    0.000 posixpath.py:140(basename)
     7731    0.005    0.000    0.005    0.000 types.py:352(__init__)
     1576    0.005    0.000    0.073    0.000 base.py:1187(__call__)
      737    0.005    0.000    0.010    0.000 array_exprs.py:33(match)
     7827    0.005    0.000    0.006    0.000 numpy_support.py:85(from_dtype)
    10814    0.004    0.000    0.005    0.000 types.py:205(__new__)
    13802    0.004    0.000    0.023    0.000 ir_utils.py:2163(<listcomp>)
    15083    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    25900    0.004    0.000    0.004    0.000 common.py:27(_is_shutting_down)
      816    0.004    0.000    0.118    0.000 arrayobj.py:90(shape)
  610/290    0.004    0.000    7.370    0.025 lowering.py:976(_lower_call_normal)
5970/4916    0.004    0.000    0.011    0.000 ir.py:234(__eq__)
    14326    0.004    0.000    0.006    0.000 inspect.py:2821(<genexpr>)
     2532    0.004    0.000    0.007    0.000 module.py:21(_fix_metadata_operands)
     1440    0.004    0.000    0.005    0.000 functions.py:247(__init__)
21007/13798    0.004    0.000    0.025    0.000 abc.py:100(__subclasscheck__)
     8230    0.004    0.000    0.004    0.000 {method 'remove' of 'list' objects}
     2069    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1352    0.004    0.000    0.007    0.000 std.py:104(acquire)
     4251    0.004    0.000    0.005    0.000 analysis.py:200(fix_point_progress)
     5372    0.004    0.000    0.008    0.000 bytecode.py:250(<genexpr>)
      341    0.004    0.000    0.197    0.001 callconv.py:547(call_function)
   6182/1    0.004    0.000    0.045    0.045 numpy_pickle.py:249(save)
    10781    0.004    0.000    0.007    0.000 compiler_machinery.py:400(is_registered)
     1739    0.004    0.000    0.005    0.000 misc.py:85(__init__)
     2033    0.004    0.000    0.017    0.000 pprint.py:362(_format_items)
     1371    0.004    0.000    0.367    0.000 postproc.py:51(deadmaps)
    27339    0.004    0.000    0.004    0.000 types.py:246(wrap_constant_value)
     5372    0.004    0.000    0.013    0.000 bytecode.py:174(next)
     8534    0.004    0.000    0.008    0.000 errors.py:211(__exit__)
     2601    0.004    0.000    0.525    0.000 cgutils.py:149(__getattr__)
     1578    0.004    0.000    0.007    0.000 module.py:7(__init__)
    11679    0.004    0.000    0.008    0.000 common.py:9(_decode_string)
    29774    0.004    0.000    0.008    0.000 transforms.py:37(visit_Instruction)
     9927    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
    29215    0.004    0.000    0.004    0.000 ir.py:1038(__str__)
     1328    0.004    0.000    0.004    0.000 {built-in method now}
      244    0.004    0.000    0.031    0.000 analysis.py:291(dead_branch_prune)
    35876    0.004    0.000    0.004    0.000 fromnumeric.py:547(_swapaxes_dispatcher)
     5054    0.004    0.000    0.561    0.000 cgutils.py:142(_get_ptr_by_index)
     5648    0.004    0.000    0.009    0.000 values.py:813(_format_name)
     1749    0.004    0.000    0.090    0.000 lowering.py:1328(_lit_or_omitted)
    17038    0.004    0.000    0.004    0.000 functions.py:264(key)
2500/2497    0.004    0.000    0.050    0.000 base.py:514(get_constant_generic)
     2840    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     5372    0.004    0.000    0.004    0.000 compiler_machinery.py:128(__init__)
     6073    0.004    0.000    0.004    0.000 pool.py:263(__del__)
     2317    0.004    0.000    0.027    0.000 builder.py:833(cbranch)
     5130    0.004    0.000    0.008    0.000 numpy_support.py:391(<listcomp>)
     8534    0.004    0.000    0.008    0.000 errors.py:207(__enter__)
     6662    0.004    0.000    0.005    0.000 ir.py:591(<genexpr>)
     7663    0.004    0.000    0.016    0.000 ir_utils.py:1506(get_definition)
     7284    0.004    0.000    0.046    0.000 context.py:266(core)
     5659    0.004    0.000    0.011    0.000 common.py:201(is_object_dtype)
     5855    0.004    0.000    0.006    0.000 ir.py:190(with_lineno)
     4998    0.004    0.000    0.004    0.000 values.py:533(add)
    13373    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
      705    0.004    0.000    0.135    0.000 typeinfer.py:1540(typeof_global)
     4007    0.004    0.000    0.086    0.000 core.py:161(get_or_insert_function)
     1822    0.004    0.000    0.004    0.000 _iotools.py:38(_is_string_like)
     2393    0.004    0.000    0.027    0.000 builder.py:825(branch)
    10934    0.004    0.000    0.004    0.000 lowering.py:265(debug_print)
      654    0.004    0.000    0.030    0.000 posixpath.py:449(relpath)
     8506    0.004    0.000    0.052    0.000 values.py:637(<genexpr>)
     2247    0.004    0.000    0.025    0.000 models.py:705(traverse)
     1371    0.004    0.000    0.120    0.000 transforms.py:310(canonicalize_cfg)
       40    0.004    0.000    0.017    0.000 castgraph.py:92(propagate)
    12810    0.004    0.000    0.005    0.000 ir.py:1251(<genexpr>)
     1419    0.004    0.000    0.013    0.000 typed_passes.py:648(select_template)
     2142    0.004    0.000    0.051    0.000 values.py:600(<listcomp>)
    17068    0.004    0.000    0.004    0.000 ansitowin32.py:106(should_wrap)
     9557    0.004    0.000    0.004    0.000 analysis.py:182(<genexpr>)
     1812    0.004    0.000    0.015    0.000 event.py:321(install_timer)
     7732    0.004    0.000    0.020    0.000 _collections_abc.py:742(__iter__)
      315    0.004    0.000    0.435    0.001 arrayobj.py:328(basic_indexing)
      122    0.004    0.000    0.012    0.000 untyped_passes.py:285(run_pass)
     3176    0.004    0.000    0.037    0.000 compiler_lock.py:15(release)
    10633    0.004    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    12149    0.004    0.000    0.004    0.000 context.py:197(get_start_method)
      673    0.004    0.000    0.004    0.000 containers.py:233(__init__)
     2836    0.004    0.000    0.010    0.000 ir.py:196(short)
      205    0.004    0.000    0.025    0.000 ssa.py:86(_iterated_domfronts)
     4111    0.004    0.000    0.006    0.000 builder.py:211(module)
    17705    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     1371    0.004    0.000    0.116    0.000 transforms.py:240(canonicalize_cfg_single_backedge)
   122/57    0.004    0.000   16.799    0.295 typed_passes.py:451(run_pass)
     8534    0.004    0.000    0.004    0.000 initialise.py:67(reinit)
14053/14008    0.004    0.000    0.004    0.000 models.py:529(get_value_type)
     8534    0.004    0.000    0.004    0.000 initialise.py:51(deinit)
     3873    0.004    0.000    0.010    0.000 generic.py:5467(__setattr__)
    10180    0.004    0.000    0.035    0.000 pprint.py:412(format)
     2596    0.004    0.000    0.011    0.000 numpy_support.py:329(_ufunc_loop_sig)
    22519    0.004    0.000    0.004    0.000 bytecode.py:237(__getitem__)
 2367/603    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
     1576    0.004    0.000    0.077    0.000 base.py:1158(__init__)
 1576/703    0.004    0.000    7.987    0.011 base.py:1164(__call__)
     5535    0.004    0.000    0.013    0.000 base.py:3036(get_loc)
    14912    0.004    0.000    0.004    0.000 context.py:21(__init__)
      125    0.004    0.000    0.103    0.001 codegen.py:706(_finalize_dynamic_globals)
     1912    0.004    0.000    0.045    0.000 base.py:61(_select_compatible)
     4554    0.004    0.000    0.031    0.000 builder.py:248(append_basic_block)
     3176    0.004    0.000    0.027    0.000 compiler_lock.py:11(acquire)
      813    0.004    0.000    0.037    0.000 textwrap.py:414(dedent)
    12170    0.004    0.000    0.004    0.000 _parallel_backends.py:137(retrieval_context)
    16128    0.004    0.000    0.004    0.000 lowering.py:1245(getvar)
     1026    0.004    0.000    0.007    0.000 containers.py:418(__init__)
    20634    0.004    0.000    0.004    0.000 models.py:89(traverse)
     7204    0.004    0.000    0.005    0.000 ir.py:1233(append)
 1574/702    0.003    0.000    7.980    0.011 base.py:1193(wrapper)
    28252    0.003    0.000    0.003    0.000 {function TargetRegistry.__getitem__ at 0x7f83aafa2940}
     8534    0.003    0.000    0.003    0.000 {method 'decode' of 'bytearray' objects}
     1730    0.003    0.000    0.056    0.000 typed_passes.py:591(get_func_type)
      612    0.003    0.000    0.036    0.000 lowering.py:668(fold_call_args)
     6083    0.003    0.000    0.007    0.000 common.py:1610(_is_dtype_type)
     6004    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     5466    0.003    0.000    0.011    0.000 base.py:4845(_get_values_for_loc)
    18225    0.003    0.000    0.003    0.000 {method 'locked' of '_thread.lock' objects}
 3684/876    0.003    0.000   12.552    0.014 context.py:187(resolve_function_type)
     5481    0.003    0.000    0.020    0.000 base.py:4316(_can_hold_identifiers_and_holds_name)
    21/18    0.003    0.000    0.016    0.001 ir_utils.py:778(find_potential_aliases)
     4570    0.003    0.000    0.188    0.000 typeinfer.py:1369(constrain_statement)
     8058    0.003    0.000    0.004    0.000 compiler_machinery.py:20(__enter__)
    10096    0.003    0.000    0.005    0.000 models.py:48(get_argument_type)
      970    0.003    0.000    0.008    0.000 instructions.py:295(descr)
     5246    0.003    0.000    0.003    0.000 bytecode.py:120(_unpack_opargs)
     5535    0.003    0.000    0.007    0.000 base.py:5287(_maybe_cast_indexer)
        1    0.003    0.003    0.758    0.758 frame.py:5417(sort_values)
     1443    0.003    0.000    0.061    0.000 cgutils.py:173(__setitem__)
    31514    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
     8058    0.003    0.000    0.009    0.000 compiler_machinery.py:403(get)
      125    0.003    0.000    0.099    0.001 codegen.py:984(scan_unresolved_symbols)
    13004    0.003    0.000    0.004    0.000 enum.py:631(__new__)
  398/395    0.003    0.000    0.047    0.000 models.py:547(_as)
      122    0.003    0.000    0.028    0.000 typeinfer.py:1103(unify)
     2142    0.003    0.000    0.004    0.000 values.py:554(__init__)
    16657    0.003    0.000    0.003    0.000 abstract.py:114(__repr__)
     3106    0.003    0.000    0.003    0.000 models.py:496(<listcomp>)
    13838    0.003    0.000    0.003    0.000 context.py:26(astuple)
     1013    0.003    0.000    0.003    0.000 values.py:36(<listcomp>)
     3338    0.003    0.000    0.008    0.000 typeinfer.py:503(<listcomp>)
  1353/34    0.003    0.000    6.969    0.205 <frozen importlib._bootstrap_external>:777(exec_module)
     2719    0.003    0.000    0.051    0.000 abc.py:84(__new__)
      862    0.003    0.000    0.005    0.000 transforms.py:250(has_multiple_backedges)
     1352    0.003    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     4259    0.003    0.000    0.003    0.000 ir.py:708(__str__)
    26/23    0.003    0.000    0.008    0.000 ir_utils.py:1149(get_call_table)
      646    0.003    0.000    0.005    0.000 typeinfer.py:1702(typeof_call)
     3057    0.003    0.000    0.005    0.000 ffi.py:253(__del__)
      238    0.003    0.000    0.743    0.003 lowering.py:632(lower_getitem)
     2142    0.003    0.000    0.347    0.000 passmanagers.py:232(run)
     1255    0.003    0.000    0.008    0.000 models.py:542(<listcomp>)
     1219    0.003    0.000    0.364    0.000 base.py:1097(get_abi_sizeof)
    18581    0.003    0.000    0.003    0.000 functions.py:299(<dictcomp>)
     2074    0.003    0.000    0.004    0.000 module.py:52(__init__)
     2686    0.003    0.000    0.009    0.000 compiler_machinery.py:177(_validate_pass)
    26055    0.003    0.000    0.003    0.000 models.py:132(has_nrt_meminfo)
    12376    0.003    0.000    0.004    0.000 pickle.py:241(write)
      979    0.003    0.000    0.029    0.000 cgutils.py:629(pack_array)
     7554    0.003    0.000    0.003    0.000 {method 'clear' of 'frame' objects}
  953/352    0.003    0.000    0.008    0.000 ssa.py:357(_find_def_from_top)
      751    0.003    0.000    0.067    0.000 ir_print.py:11(match)
     4458    0.003    0.000    0.024    0.000 values.py:127(_to_string)
     8878    0.003    0.000    0.004    0.000 typeinfer.py:508(<genexpr>)
     2142    0.003    0.000    0.040    0.000 passmanagers.py:225(finalize)
       88    0.003    0.000    0.006    0.000 codegen.py:1342(set_env)
      643    0.003    0.000    0.015    0.000 templates.py:815(make_overload_template)
    27982    0.003    0.000    0.003    0.000 {sklearn.utils.murmurhash.murmurhash3_32}
      341    0.003    0.000    0.036    0.000 callconv.py:454(_get_return_status)
        1    0.003    0.003    0.004    0.004 necompiler.py:767(evaluate)
      122    0.003    0.000    0.009    0.000 analysis.py:509(rewrite_semantic_constants)
      269    0.003    0.000    0.112    0.000 codegen.py:603(_get_module_for_linking)
     1219    0.003    0.000    0.356    0.000 types.py:48(get_abi_size)
      125    0.003    0.000    0.097    0.001 codegen.py:712(_verify_declare_only_symbols)
     1822    0.003    0.000    0.013    0.000 mgf.py:537(_charge_repr)
     2142    0.003    0.000    0.041    0.000 passmanagers.py:218(initialize)
    14092    0.003    0.000    0.005    0.000 os.py:752(decode)
     4710    0.003    0.000    0.004    0.000 byteflow.py:1294(get_top_block)
        1    0.003    0.003  230.781  230.781 falcon_profiling.py:1(<module>)
     1576    0.003    0.000    0.067    0.000 base.py:1175(_has_loc)
      615    0.003    0.000    0.014    0.000 typeinfer.py:208(__call__)
    15777    0.003    0.000    0.003    0.000 containers.py:243(key)
     1353    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
    15780    0.003    0.000    0.003    0.000 typeinfer.py:120(getone)
     4665    0.003    0.000    0.006    0.000 typing.py:762(__setattr__)
     7837    0.003    0.000    0.007    0.000 abstract.py:123(__ne__)
     5628    0.003    0.000    0.014    0.000 base.py:378(insert_func_defn)
     1250    0.003    0.000    0.005    0.000 compat.py:370(inspect_formatargspec)
     4010    0.003    0.000    0.082    0.000 instructions.py:139(descr)
     4793    0.003    0.000    0.010    0.000 abstract.py:438(literal_type)
     8149    0.003    0.000    0.005    0.000 version.py:98(_compare)
     5510    0.003    0.000    0.005    0.000 managers.py:1626(internal_values)
     1139    0.003    0.000    0.003    0.000 version.py:474(_cmpkey)
   122/57    0.003    0.000   10.493    0.184 lowering.py:196(lower_function_body)
     1822    0.003    0.000    0.003    0.000 npyio.py:1328(WriteWrap)
     1219    0.003    0.000    0.027    0.000 value.py:198(type)
      355    0.003    0.000    0.054    0.000 callconv.py:490(decorate_function)
     2142    0.003    0.000    0.006    0.000 values.py:577(__repr__)
       62    0.003    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
      477    0.003    0.000    0.004    0.000 packer.py:190(unflatten)
      361    0.003    0.000    0.021    0.000 _util.py:289(getfullargspec_no_self)
     2034    0.003    0.000    0.004    0.000 interpreter.py:51(assign)
     2836    0.003    0.000    0.013    0.000 ir.py:1035(__repr__)
      123    0.003    0.000    0.025    0.000 config.py:80(update)
    24204    0.003    0.000    0.003    0.000 multiarray.py:478(can_cast)
     4620    0.003    0.000    0.005    0.000 byteflow.py:238(_is_implicit_new_block)
     3962    0.003    0.000    0.012    0.000 ir.py:1121(get_or_define)
     5466    0.003    0.000    0.009    0.000 mgf.py:541(_default_repr)
      492    0.003    0.000    0.028    0.000 callconv.py:409(check_try_status)
       15    0.003    0.000    0.003    0.000 {pyarrow.lib.array}
       49    0.003    0.000    0.007    0.000 enum.py:157(__new__)
      646    0.003    0.000    0.006    0.000 untyped_passes.py:333(_do_work)
     5569    0.003    0.000    0.004    0.000 base.py:4230(__contains__)
     1823    0.003    0.000    0.013    0.000 apply.py:389(series_generator)
      830    0.003    0.000    0.032    0.000 arrayobj.py:37(set_range_metadata)
     5109    0.003    0.000    0.003    0.000 types.py:518(gep)
     4007    0.003    0.000    0.003    0.000 typeinfer.py:43(__init__)
      417    0.003    0.000    0.040    0.000 typeinfer.py:700(__call__)
     4132    0.003    0.000    0.003    0.000 ir.py:1188(__init__)
     1822    0.003    0.000    0.004    0.000 structures.py:71(__new__)
1593/1584    0.003    0.000    0.115    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       80    0.003    0.000    0.537    0.007 cpu.py:165(create_cfunc_wrapper)
      375    0.003    0.000    0.263    0.001 listobj.py:22(get_list_payload)
      192    0.003    0.000    0.028    0.000 pythonapi.py:1336(serialize_uncached)
      623    0.003    0.000    0.186    0.000 arrayobj.py:70(_make_refs)
     5315    0.003    0.000    0.014    0.000 ssa.py:321(_fix_var)
    15420    0.003    0.000    0.003    0.000 templates.py:42(return_type)
      233    0.003    0.000    2.304    0.010 codegen.py:654(add_ir_module)
     4322    0.003    0.000    0.018    0.000 builder.py:290(_branch_helper)
      910    0.003    0.000    0.015    0.000 builder.py:857(ret)
     2069    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     7683    0.003    0.000    0.003    0.000 types.py:359(__getitem__)
  790/248    0.003    0.000    0.130    0.001 sre_parse.py:435(_parse_sub)
    12990    0.003    0.000    0.003    0.000 controlflow.py:595(<listcomp>)
      909    0.003    0.000    0.003    0.000 byteflow.py:1097(__init__)
      718    0.003    0.000    0.003    0.000 interpreter.py:728(insert_block)
     2968    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
   431/63    0.003    0.000   12.362    0.196 dispatcher.py:300(get_call_template)
      541    0.003    0.000    0.018    0.000 contextlib.py:482(__exit__)
     2781    0.003    0.000    0.112    0.000 inspect.py:3103(signature)
     2261    0.003    0.000    0.114    0.000 lowering.py:1315(incref)
     1627    0.003    0.000    0.027    0.000 cgutils.py:655(unpack_tuple)
      205    0.003    0.000    0.014    0.000 controlflow.py:435(_find_immediate_dominators)
    13718    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     3777    0.003    0.000    0.010    0.000 context.py:398(_get_global_type)
     5197    0.003    0.000    0.003    0.000 {built-in method builtins.print}
     3346    0.003    0.000    0.008    0.000 instructions.py:34(<listcomp>)
      125    0.003    0.000    0.083    0.001 codegen.py:1003(scan_defined_symbols)
      926    0.003    0.000    0.023    0.000 context.py:405(_load_builtins)
      465    0.003    0.000    0.040    0.000 callconv.py:478(get_function_type)
     5246    0.003    0.000    0.003    0.000 bytecode.py:96(__repr__)
     1394    0.003    0.000    0.009    0.000 cgutils.py:56(create_struct_proxy)
      526    0.002    0.000    0.033    0.000 __init__.py:2576(from_location)
      716    0.002    0.000    0.004    0.000 templates.py:58(replace)
      502    0.002    0.000    0.093    0.000 linker.py:5(link_modules)
     6445    0.002    0.000    0.011    0.000 values.py:646(<genexpr>)
     1219    0.002    0.000    0.027    0.000 targets.py:150(get_pointee_abi_size)
     2190    0.002    0.000    0.037    0.000 version.py:48(parse)
     8865    0.002    0.000    0.003    0.000 typeinfer.py:511(<genexpr>)
  234/228    0.002    0.000    0.035    0.000 models.py:554(_from)
      970    0.002    0.000    0.009    0.000 instructions.py:278(__init__)
      162    0.002    0.000    0.003    0.000 templates.py:1033(make_overload_attribute_template)
     5934    0.002    0.000    0.004    0.000 byteflow.py:1137(__hash__)
     3765    0.002    0.000    0.024    0.000 re.py:203(sub)
     1358    0.002    0.000    0.018    0.000 posixpath.py:372(abspath)
     1334    0.002    0.000    0.127    0.000 utils.py:332(disp_trim)
     6647    0.002    0.000    0.003    0.000 types.py:137(gep)
     4859    0.002    0.000    0.007    0.000 values.py:739(add_attribute)
      769    0.002    0.000   23.240    0.030 _base.py:412(result)
        6    0.002    0.000    0.002    0.000 cluster.py:681(get_cluster_representatives)
   122/43    0.002    0.000   12.746    0.296 typed_passes.py:61(type_inference_stage)
     3644    0.002    0.000    0.003    0.000 typedlist.py:81(_append)
    20824    0.002    0.000    0.002    0.000 {built-in method _warnings._filters_mutated}
     5483    0.002    0.000    0.013    0.000 base.py:1963(is_object)
     7167    0.002    0.000    0.005    0.000 os.py:693(__iter__)
      244    0.002    0.000    0.006    0.000 analysis.py:304(find_branches)
     2214    0.002    0.000    0.005    0.000 ir.py:372(__init__)
     7359    0.002    0.000    0.002    0.000 values.py:607(module)
      718    0.002    0.000    0.007    0.000 interpreter.py:438(_start_new_block)
     6658    0.002    0.000    0.002    0.000 ir.py:384(__setattr__)
    19708    0.002    0.000    0.002    0.000 inspect.py:2539(name)
     4058    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
    11332    0.002    0.000    0.002    0.000 context.py:15(_require_nrt)
      388    0.002    0.000    0.117    0.000 cgutils.py:709(get_item_pointer2)
     2631    0.002    0.000    0.025    0.000 numpy_support.py:371(<listcomp>)
    22063    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
     1912    0.002    0.000    0.053    0.000 base.py:54(_find)
     3660    0.002    0.000    0.003    0.000 templates.py:275(get_impl_key)
     1478    0.002    0.000    0.003    0.000 core.py:85(function)
     1048    0.002    0.000    0.044    0.000 __init__.py:2118(distributions_from_metadata)
      122    0.002    0.000    0.136    0.001 compiler.py:305(__init__)
   122/43    0.002    0.000   12.748    0.296 typed_passes.py:97(run_pass)
    16159    0.002    0.000    0.002    0.000 models.py:230(get_value_type)
     1842    0.002    0.000    0.015    0.000 typeinfer.py:1091(copy_type)
     3669    0.002    0.000    0.003    0.000 ssa.py:235(on_assign)
      221    0.002    0.000    0.050    0.000 langhelpers.py:174(decorate)
      244    0.002    0.000    0.035    0.000 untyped_passes.py:162(run_pass)
     4137    0.002    0.000    0.003    0.000 builder.py:173(_label_suffix)
      125    0.002    0.000    6.610    0.053 codegen.py:673(finalize)
     1661    0.002    0.000    0.012    0.000 byteflow.py:298(op_LOAD_FAST)
      707    0.002    0.000    0.009    0.000 cgutils.py:44(make_bytearray)
      398    0.002    0.000    0.003    0.000 context.py:133(__init__)
      588    0.002    0.000    0.089    0.000 tokenize.py:429(_tokenize)
     2680    0.002    0.000    0.027    0.000 utils.py:140(inner)
     6640    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     8988    0.002    0.000    0.002    0.000 inline_closurecall.py:1466(<listcomp>)
       13    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     1910    0.002    0.000    0.088    0.000 typed_passes.py:646(_do_work_expr)
      315    0.002    0.000    0.195    0.001 cgutils.py:667(get_item_pointer)
     6059    0.002    0.000    0.002    0.000 values.py:611(entry_basic_block)
     3732    0.002    0.000    0.051    0.000 controlflow.py:139(process)
 1032/822    0.002    0.000    0.111    0.000 consts.py:56(_do_infer)
        6    0.002    0.000  191.984   31.997 cluster.py:25(compute_pairwise_distances)
     1344    0.002    0.000    0.030    0.000 module.py:76(_dispose)
4040/3976    0.002    0.000    0.010    0.000 context.py:645(unify_pairs)
     6298    0.002    0.000    0.003    0.000 interpreter.py:71(get_assignment_source)
     5531    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      360    0.002    0.000    0.024    0.000 targets.py:9(get_process_triple)
      526    0.002    0.000    0.005    0.000 __init__.py:670(add)
     3456    0.002    0.000    0.003    0.000 cffi_utils.py:29(is_ffi_instance)
      711    0.002    0.000    0.016    0.000 module.py:182(functions)
     7432    0.002    0.000    0.006    0.000 npydecl.py:189(<genexpr>)
     6010    0.002    0.000    0.002    0.000 ir.py:31(__init__)
      490    0.002    0.000    0.003    0.000 compat.py:74(inspect_getfullargspec)
      352    0.002    0.000    0.003    0.000 common.py:48(__init__)
     1037    0.002    0.000    0.012    0.000 builder.py:160(wrapped)
    13133    0.002    0.000    0.002    0.000 analysis.py:141(<genexpr>)
      624    0.002    0.000    0.009    0.000 typing.py:659(__init__)
        2    0.002    0.001    0.002    0.001 {built-in method _posixsubprocess.fork_exec}
     5544    0.002    0.000    0.002    0.000 numpy_support.py:381(<genexpr>)
     2278    0.002    0.000    0.008    0.000 __init__.py:2067(dist_factory)
    22559    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
1301/1082    0.002    0.000    0.127    0.000 consts.py:24(infer_constant)
     6718    0.002    0.000    0.002    0.000 {built-in method builtins.divmod}
    15313    0.002    0.000    0.002    0.000 pprint.py:92(__lt__)
     7848    0.002    0.000    0.004    0.000 ir.py:1041(is_temp)
1376/1284    0.002    0.000    0.009    0.000 ir_utils.py:368(visit_vars_stmt)
      122    0.002    0.000    0.003    0.000 untyped_passes.py:570(run_pass)
      718    0.002    0.000    0.005    0.000 byteflow.py:1345(get_outgoing_states)
     4762    0.002    0.000    0.003    0.000 ir.py:1229(prepend)
      122    0.002    0.000    0.182    0.001 typed_passes.py:181(run_pass)
      657    0.002    0.000    0.024    0.000 callconv.py:447(_return_errcode_raw)
 1637/567    0.002    0.000    0.014    0.000 itanium_mangler.py:155(mangle_type_or_value)
     1703    0.002    0.000    0.003    0.000 context.py:13(__init__)
     6855    0.002    0.000    0.003    0.000 inspect.py:158(isfunction)
     1526    0.002    0.000    0.002    0.000 ir.py:63(__str__)
  428/294    0.002    0.000    9.020    0.031 templates.py:694(_build_impl)
     2142    0.002    0.000    0.008    0.000 values.py:762(__str__)
      259    0.002    0.000    0.017    0.000 validation.py:48(_inner_deprecate_positional_args)
     6183    0.002    0.000    0.003    0.000 pickle.py:217(commit_frame)
