         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   108118    0.140    0.000    0.140    0.000 spectrum.py:17(_check_spectrum_valid)
320445/302371    0.138    0.000    1.779    0.000 {built-in method builtins.next}
    73754    0.137    0.000    0.137    0.000 {built-in method numpy.empty}
   280398    0.135    0.000    0.231    0.000 abc.py:96(__instancecheck__)
   414113    0.134    0.000    0.165    0.000 fake_fastnumbers.py:83(fast_int)
   126311    0.134    0.000    0.134    0.000 {built-in method _thread.allocate_lock}
32869/11928    0.134    0.000    9.261    0.001 templates.py:343(apply)
    24416    0.131    0.000    0.131    0.000 weakref.py:343(__init__)
    35499    0.130    0.000    0.130    0.000 _parallel_backends.py:34(__init__)
    37681    0.129    0.000    0.382    0.000 queue.py:153(get)
1411/1406    0.128    0.000    0.785    0.001 analysis.py:23(compute_use_defs)
238069/237493    0.127    0.000    0.273    0.000 _utils.py:54(get_reference)
       24    0.121    0.005    0.122    0.005 {method 'argsort' of 'numpy.ndarray' objects}
    23341    0.118    0.000    0.232    0.000 _parallel_backends.py:124(get_nested_backend)
    12208    0.117    0.000    0.306    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    12167    0.117    0.000    1.182    0.000 tempfile.py:144(__next__)
52399/51898    0.112    0.000    0.195    0.000 {built-in method builtins.any}
    12305    0.111    0.000    0.154    0.000 weakref.py:159(__setitem__)
   132364    0.111    0.000    0.573    0.000 event.py:193(broadcast)
    19940    0.111    0.000    0.113    0.000 types.py:116(__init__)
     6086    0.110    0.000    0.272    0.000 queue.py:33(__init__)
   135034    0.110    0.000    0.148    0.000 {built-in method builtins.setattr}
     6110    0.109    0.000    0.109    0.000 {built-in method numpy.zeros}
8636/8585    0.108    0.000    0.416    0.000 {built-in method builtins.__build_class__}
     3346    0.107    0.000    0.133    0.000 builder.py:31(wrapped)
    65777    0.107    0.000    0.563    0.000 threading.py:505(__init__)
   116289    0.107    0.000    0.210    0.000 _utils.py:24(deduplicate)
     6111    0.106    0.000    0.106    0.000 {built-in method posix.urandom}
     6073    0.103    0.000   14.837    0.002 pool.py:677(_terminate_pool)
203590/148435    0.102    0.000    0.188    0.000 abstract.py:117(__hash__)
   168626    0.102    0.000    0.102    0.000 {method 'getrandbits' of '_random.Random' objects}
   139506    0.101    0.000    0.101    0.000 {method '__exit__' of '_thread.lock' objects}
    36175    0.101    0.000    0.101    0.000 {built-in method builtins.max}
4065/1445    0.100    0.000    9.441    0.007 functions.py:283(get_call_type)
   116500    0.100    0.000    0.489    0.000 values.py:212(__init__)
     6085    0.100    0.000    0.744    0.000 parallel.py:637(__init__)
     3616    0.099    0.000    0.114    0.000 analysis.py:81(def_reach)
   363376    0.098    0.000    0.133    0.000 py3k.py:38(asunicode)
     6098    0.097    0.000    2.595    0.000 context.py:110(cpu_count)
